file,label
train/cifar10_train__0.png,6
train/cifar10_train__1.png,9
train/cifar10_train__2.png,9
train/cifar10_train__3.png,4
train/cifar10_train__4.png,1
train/cifar10_train__5.png,1
train/cifar10_train__6.png,2
train/cifar10_train__7.png,7
train/cifar10_train__8.png,8
train/cifar10_train__9.png,3
train/cifar10_train__10.png,4
train/cifar10_train__11.png,7
train/cifar10_train__12.png,7
train/cifar10_train__13.png,2
train/cifar10_train__14.png,9
train/cifar10_train__15.png,9
train/cifar10_train__16.png,9
train/cifar10_train__17.png,3
train/cifar10_train__18.png,2
train/cifar10_train__19.png,6
train/cifar10_train__20.png,4
train/cifar10_train__21.png,3
train/cifar10_train__22.png,6
train/cifar10_train__23.png,6
train/cifar10_train__24.png,2
train/cifar10_train__25.png,6
train/cifar10_train__26.png,3
train/cifar10_train__27.png,5
train/cifar10_train__28.png,4
train/cifar10_train__29.png,0
train/cifar10_train__30.png,0
train/cifar10_train__31.png,9
train/cifar10_train__32.png,1
train/cifar10_train__33.png,3
train/cifar10_train__34.png,4
train/cifar10_train__35.png,0
train/cifar10_train__36.png,3
train/cifar10_train__37.png,7
train/cifar10_train__38.png,3
train/cifar10_train__39.png,3
train/cifar10_train__40.png,5
train/cifar10_train__41.png,2
train/cifar10_train__42.png,2
train/cifar10_train__43.png,7
train/cifar10_train__44.png,1
train/cifar10_train__45.png,1
train/cifar10_train__46.png,1
train/cifar10_train__47.png,2
train/cifar10_train__48.png,2
train/cifar10_train__49.png,0
train/cifar10_train__50.png,9
train/cifar10_train__51.png,5
train/cifar10_train__52.png,7
train/cifar10_train__53.png,9
train/cifar10_train__54.png,2
train/cifar10_train__55.png,2
train/cifar10_train__56.png,5
train/cifar10_train__57.png,2
train/cifar10_train__58.png,4
train/cifar10_train__59.png,3
train/cifar10_train__60.png,1
train/cifar10_train__61.png,1
train/cifar10_train__62.png,8
train/cifar10_train__63.png,2
train/cifar10_train__64.png,1
train/cifar10_train__65.png,1
train/cifar10_train__66.png,4
train/cifar10_train__67.png,9
train/cifar10_train__68.png,7
train/cifar10_train__69.png,8
train/cifar10_train__70.png,5
train/cifar10_train__71.png,9
train/cifar10_train__72.png,6
train/cifar10_train__73.png,7
train/cifar10_train__74.png,3
train/cifar10_train__75.png,1
train/cifar10_train__76.png,9
train/cifar10_train__77.png,0
train/cifar10_train__78.png,3
train/cifar10_train__79.png,1
train/cifar10_train__80.png,3
train/cifar10_train__81.png,5
train/cifar10_train__82.png,4
train/cifar10_train__83.png,5
train/cifar10_train__84.png,7
train/cifar10_train__85.png,7
train/cifar10_train__86.png,4
train/cifar10_train__87.png,7
train/cifar10_train__88.png,9
train/cifar10_train__89.png,4
train/cifar10_train__90.png,2
train/cifar10_train__91.png,3
train/cifar10_train__92.png,8
train/cifar10_train__93.png,0
train/cifar10_train__94.png,1
train/cifar10_train__95.png,6
train/cifar10_train__96.png,1
train/cifar10_train__97.png,1
train/cifar10_train__98.png,4
train/cifar10_train__99.png,1
train/cifar10_train__100.png,8
train/cifar10_train__101.png,3
train/cifar10_train__102.png,9
train/cifar10_train__103.png,6
train/cifar10_train__104.png,6
train/cifar10_train__105.png,1
train/cifar10_train__106.png,8
train/cifar10_train__107.png,5
train/cifar10_train__108.png,2
train/cifar10_train__109.png,9
train/cifar10_train__110.png,9
train/cifar10_train__111.png,8
train/cifar10_train__112.png,1
train/cifar10_train__113.png,7
train/cifar10_train__114.png,7
train/cifar10_train__115.png,0
train/cifar10_train__116.png,0
train/cifar10_train__117.png,6
train/cifar10_train__118.png,9
train/cifar10_train__119.png,1
train/cifar10_train__120.png,2
train/cifar10_train__121.png,2
train/cifar10_train__122.png,9
train/cifar10_train__123.png,2
train/cifar10_train__124.png,6
train/cifar10_train__125.png,6
train/cifar10_train__126.png,1
train/cifar10_train__127.png,9
train/cifar10_train__128.png,5
train/cifar10_train__129.png,0
train/cifar10_train__130.png,4
train/cifar10_train__131.png,7
train/cifar10_train__132.png,6
train/cifar10_train__133.png,7
train/cifar10_train__134.png,1
train/cifar10_train__135.png,8
train/cifar10_train__136.png,1
train/cifar10_train__137.png,1
train/cifar10_train__138.png,2
train/cifar10_train__139.png,8
train/cifar10_train__140.png,1
train/cifar10_train__141.png,3
train/cifar10_train__142.png,3
train/cifar10_train__143.png,6
train/cifar10_train__144.png,2
train/cifar10_train__145.png,4
train/cifar10_train__146.png,9
train/cifar10_train__147.png,9
train/cifar10_train__148.png,5
train/cifar10_train__149.png,4
train/cifar10_train__150.png,3
train/cifar10_train__151.png,6
train/cifar10_train__152.png,7
train/cifar10_train__153.png,4
train/cifar10_train__154.png,6
train/cifar10_train__155.png,8
train/cifar10_train__156.png,5
train/cifar10_train__157.png,5
train/cifar10_train__158.png,4
train/cifar10_train__159.png,3
train/cifar10_train__160.png,1
train/cifar10_train__161.png,8
train/cifar10_train__162.png,4
train/cifar10_train__163.png,7
train/cifar10_train__164.png,6
train/cifar10_train__165.png,0
train/cifar10_train__166.png,9
train/cifar10_train__167.png,5
train/cifar10_train__168.png,1
train/cifar10_train__169.png,3
train/cifar10_train__170.png,8
train/cifar10_train__171.png,2
train/cifar10_train__172.png,7
train/cifar10_train__173.png,5
train/cifar10_train__174.png,3
train/cifar10_train__175.png,4
train/cifar10_train__176.png,1
train/cifar10_train__177.png,5
train/cifar10_train__178.png,7
train/cifar10_train__179.png,0
train/cifar10_train__180.png,4
train/cifar10_train__181.png,7
train/cifar10_train__182.png,5
train/cifar10_train__183.png,5
train/cifar10_train__184.png,1
train/cifar10_train__185.png,0
train/cifar10_train__186.png,9
train/cifar10_train__187.png,6
train/cifar10_train__188.png,9
train/cifar10_train__189.png,0
train/cifar10_train__190.png,8
train/cifar10_train__191.png,7
train/cifar10_train__192.png,8
train/cifar10_train__193.png,8
train/cifar10_train__194.png,2
train/cifar10_train__195.png,5
train/cifar10_train__196.png,2
train/cifar10_train__197.png,3
train/cifar10_train__198.png,5
train/cifar10_train__199.png,0
train/cifar10_train__200.png,6
train/cifar10_train__201.png,1
train/cifar10_train__202.png,9
train/cifar10_train__203.png,3
train/cifar10_train__204.png,6
train/cifar10_train__205.png,9
train/cifar10_train__206.png,1
train/cifar10_train__207.png,3
train/cifar10_train__208.png,9
train/cifar10_train__209.png,6
train/cifar10_train__210.png,6
train/cifar10_train__211.png,7
train/cifar10_train__212.png,1
train/cifar10_train__213.png,0
train/cifar10_train__214.png,9
train/cifar10_train__215.png,5
train/cifar10_train__216.png,8
train/cifar10_train__217.png,5
train/cifar10_train__218.png,2
train/cifar10_train__219.png,9
train/cifar10_train__220.png,0
train/cifar10_train__221.png,8
train/cifar10_train__222.png,8
train/cifar10_train__223.png,0
train/cifar10_train__224.png,6
train/cifar10_train__225.png,9
train/cifar10_train__226.png,1
train/cifar10_train__227.png,1
train/cifar10_train__228.png,6
train/cifar10_train__229.png,3
train/cifar10_train__230.png,7
train/cifar10_train__231.png,6
train/cifar10_train__232.png,6
